,Title,Suggested Duration,Address,Ratings,Transport
330,Players' Theatre,Suggested Duration Not Available,"The Arches Villiers St. Strand Wc2, London England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
331,Spiritual Bar,Suggested Duration Not Available,"4 Ferdinand Street Camden Square, London NW1 8ER England",Ratings Not Available,"['Chalk Farm', 'Kentish Town West', 'Rental Cars']"
332,1901 Arts Club,Suggested Duration:More than 3 hours,"7 Exton Street Waterloo, London SE1 8UE England",5,"['Waterloo', 'Southwark', 'Rental Cars']"
333,The Piano Bar Kensington,Suggested Duration Not Available,"106 Kensington High Street, London W8 4SG England",Ratings Not Available,"['High St Kensington', 'Notting Hill Gate', 'Rental Cars']"
334,Lost Lagoon,Suggested Duration Not Available,"West 12 Shopping center, London W12 8PP England",Ratings Not Available,"[""Shepherd's Bush"", ""Shepherd's Bush"", 'Rental Cars']"
335,The Tempest,Suggested Duration Not Available,"The Globe, London England",Ratings Not Available,"['Bethnal Green', 'Bethnal Green', 'Rental Cars']"
336,Colour House Theatre,Suggested Duration Not Available,"The Colourhouse Watermill Way, London SW19 2RD England",Ratings Not Available,"['Morden', 'Putney Bridge', 'Rental Cars']"
337,Strange Brew Comedy Night,Suggested Duration:1-2 hours,"Little Faith Taproom 3 Creekside, London SE8 4SA England",5,"['Canary Wharf', 'Canary Wharf', 'Rental Cars']"
338,Lost Theatre,Suggested Duration Not Available,"208 Wandsworth Road, London SW8 2JU England",Ratings Not Available,"['Waterloo', 'Hyde Park Corner', 'Rental Cars']"
339,The Yard Theatre,Suggested Duration Not Available,"Queen_s Yard Hackney Wick, London E9 5EN England",4,"['Hackney Wick', 'West Ham', 'Rental Cars']"
340,The 99 Club,Suggested Duration Not Available,"82-84 St. Martin's Lane Browns, London WC2H 7NA England",Ratings Not Available,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
341,Coronet Cinema,Suggested Duration Not Available,"Notting Hill Gate jcn. of HILGATE STREET, London W11 3LB England",Ratings Not Available,"['Notting Hill Gate', 'Holland Park', 'Rental Cars']"
342,The Illusioneer,Suggested Duration:2-3 hours,"7 Shardcroft Avenue, London SE24 0DS England",5,"['Waterloo', 'Southwark', 'Rental Cars']"
343,Ribbons & Taylor Comedy Club,Suggested Duration:2-3 hours,"Stoke 157 Stoke Newington Church Street, London N16 0UH England",5,"['Stoke Newington', 'Rectory Road', 'Rental Cars']"
344,The Albany,Suggested Duration Not Available,"Albany Centre & Theatre Douglas Way, London SE8 4AG England",5,"['Canary Wharf', 'Canary Wharf', 'Rental Cars']"
345,Theatre503,Suggested Duration Not Available,"503 Battersea Park Road, London SW11 3BW England",Ratings Not Available,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
346,Jongleurs Covent Garden,Suggested Duration Not Available,"61-65 Great Queen Street, London WC2B 5BZ England",3.5,"['Holborn', 'Covent Garden', 'Rental Cars']"
347,Stockwell playhouse,Suggested Duration Not Available,"208 Wandsworth Road, London SW8 2JU England",Ratings Not Available,"['Waterloo', 'Hyde Park Corner', 'Rental Cars']"
348,Cecil Sharp House,Suggested Duration:2-3 hours,"Cecil Sharp House 2 Regents Park Road, London NW1 7AY England",4,"['Camden Town', 'Chalk Farm', 'Rental Cars']"
349,The Naked Turtle Jazz Restaurant & Bar,Suggested Duration Not Available,"505-507 Upper Richmond Road West, London SW14 7DE England",Ratings Not Available,"['Kew Gardens', 'Kew Gardens', 'Rental Cars']"
350,Teatro Technis,Suggested Duration Not Available,"26 Crowndale Road, London NW1 1TT England",Ratings Not Available,"['Mornington Crescent', 'Camden Town', 'Rental Cars']"
351,Black Velvet,Suggested Duration Not Available,"3 North End Crescent, London W14 8TG England",Ratings Not Available,"['West Kensington', 'Barons Court', 'Rental Cars']"
352,The Electric Carousel,Suggested Duration Not Available,"215-217 Piccadilly, London W1J 9HN England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
353,Lewis Schaffer Free Until Famous,Suggested Duration Not Available,"8A Sackville Street, London W1S 3DF England",Ratings Not Available,"['Piccadilly Circus', 'Green Park', 'Rental Cars']"
354,London Opera,Suggested Duration Not Available,"235 Shaftesbury Avenue Bloomsbury Central Baptist Church, London WC2H 8EP England",Ratings Not Available,"['Tottenham Court Road', 'Covent Garden', 'Rental Cars']"
355,New End Theatre,Suggested Duration Not Available,"23-25 New End, London NW3 1JD England",Ratings Not Available,"['South Hampstead', 'Hampstead', 'Rental Cars']"
