No,Title,Suggested Duration,Address,Ratings,Transport
328,Thackeray Gallery,Suggested Duration:Not Available,"18 Thackeray Street (Kensington Sq.), London W8 5ET England",Ratings Not Available,"['High St Kensington', 'Gloucester Road', 'Rental Cars']"
329,Heartbreak Gallery - official gallery for Jack Vettriano,Suggested Duration:Not Available,"17 Bulstrode Street, London W1U 2JH England",Ratings Not Available,"['Bond St', 'Oxford Circus', 'Rental Cars']"
330,Britain's Museum of Popular Music,Suggested Duration:Not Available,"116 London Wall, London EC2M 5QA England",Ratings Not Available,"['Moorgate', 'Bank', 'Rental Cars']"
331,Flaxman Gallery - UCL,Suggested Duration:Not Available,"Ucl, Gower Street, London England",Ratings Not Available,"['Goodge St', 'Euston Square', 'Rental Cars']"
332,JonaQuestArt,Suggested Duration:Not Available,"36 Greenwich Church Street, London SE10 9BL England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
333,Lethaby Gallery,Suggested Duration:Not Available,"1 Granary Square, London N1 1FA England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Mornington Crescent', 'Rental Cars']"
334,Fashion Space Gallery,Suggested Duration:< 1 hour,"20 John Princes Street, London W1G 0BJ England",Ratings Not Available,"['Oxford Circus', 'Bond St', 'Rental Cars']"
335,Chisenhale Gallery,Suggested Duration:Not Available,"64 Chisenhale Road, London E3 5QZ England",Ratings Not Available,"['Mile End', 'Bow Road', 'Rental Cars']"
336,Goldsmiths Centre for Contemporary Art,Suggested Duration:Not Available,"St James' New Cross, London SE14 6AD England",Ratings Not Available,"['Wapping', 'Canary Wharf', 'Rental Cars']"
337,Czech Memorial Scrolls Museum,Suggested Duration:1-2 hours,"Rutland Gardens Third Floor Kent House, London SW7 1BX England",Ratings Not Available,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
338,Herrick Gallery,Suggested Duration:Not Available,"93 Piccadilly, London W1J 7NQ England",Ratings Not Available,"['Green Park', 'Hyde Park Corner', 'Rental Cars']"
339,Coningsby Gallery,Suggested Duration:Not Available,"30 Tottenham Street, London W1T 4RJ England",Ratings Not Available,"['Goodge St', 'Warren St', 'Rental Cars']"
340,Sprueth Magers,Suggested Duration:Not Available,"7A Grafton Street, London W1S 4EJ England",Ratings Not Available,"['Green Park', 'Bond St', 'Rental Cars']"
341,Wimbledon Art Studios,Suggested Duration:2-3 hours,"Wimbledon Art Studios 10 Riverside Yard, London SW17 0BB England",5,"['Morden', 'Putney Bridge', 'Rental Cars']"
342,Cumberland Art Gallery,Suggested Duration:Not Available,"Hampton Court Palace, London England",Ratings Not Available,"['Southwark', 'Waterloo', 'Rental Cars']"
343,Bermondsey Project Space,Suggested Duration:Not Available,"183-185 Bermondsey Street The Vellum Building, London SE1 3UW England",Ratings Not Available,"['London Bridge', 'Tower Hill', 'Rental Cars']"
345,Gagosian Gallery - Grosvenor Hill,Suggested Duration:Not Available,"20 Grosvenor Hill, London W1K 3QD England",Ratings Not Available,"['Bond St', 'Oxford Circus', 'Rental Cars']"
346,Whitfield Fine Art,Suggested Duration:Not Available,"23 Dering Street, London W1S 1AW England",Ratings Not Available,"['Bond St', 'Oxford Circus', 'Rental Cars']"
347,Dana Centre,Suggested Duration:Not Available,"165 Queen's Gate, London SW7 5HD England",Ratings Not Available,"['Gloucester Road', 'High St Kensington', 'Rental Cars']"
348,Peckham Platform,Suggested Duration:Not Available,"Industrial Park 133 Copeland Road Bussey Building, Copeland Park, London SE15 3SN England",Ratings Not Available,"['Wapping', 'London Bridge', 'Rental Cars']"
349,Hermitage Rooms at Somerset House,Suggested Duration:Not Available,"Somerset House The Strand, London WC2 England",Ratings Not Available,"['Temple', 'Covent Garden', 'Rental Cars']"
350,Thames Galleries,Suggested Duration:Not Available,"143 Lower Richmond Road Putney, London SW15 1EZ England",Ratings Not Available,"['Putney Bridge', 'Parsons Green', 'Rental Cars']"
351,Hamilton's,Suggested Duration:Not Available,"13 Carlos Place, London W1K 2EU England",Ratings Not Available,"['Bond St', 'Green Park', 'Rental Cars']"
352,The Reel Poster Gallery,Suggested Duration:Not Available,"72 Westbourne Grove, London W2 5SH England",Ratings Not Available,"['Bayswater', 'Royal Oak', 'Rental Cars']"
354,Sladmore Gallery,Suggested Duration:Not Available,"32 Bruton Place Off Berkeley Square, London W1J 6NW England",Ratings Not Available,"['Bond St', 'Green Park', 'Rental Cars']"
355,Thomas Dane Gallery,Suggested Duration:Not Available,"St James's 3 Duke Street, London SW1Y 6BN England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
356,Cricket Fine Art,Suggested Duration:< 1 hour,"2 Park Walk Chelsea, London SW10 0AD England",3,"['Gloucester Road', 'West Brompton', 'Rental Cars']"
357,East End gallery-hopping,Suggested Duration:Not Available,"Venues around Bethnal Green Bethnal Green tube, London E2 England",Ratings Not Available,"['Shoreditch High St', 'Bethnal Green', 'Rental Cars']"
358,Bel-Air Fine Art London,Suggested Duration:Not Available,"105 New Bond Street Mayfair, London W1S 1DN England",Ratings Not Available,"['Bond St', 'Oxford Circus', 'Rental Cars']"
359,Werner Gallery,Suggested Duration:Not Available,"22 Upper Brook Street Mayfair, London W1K 7PZ England",Ratings Not Available,"['Marble Arch', 'Bond St', 'Rental Cars']"
360,Museum of Architecture,Suggested Duration:Not Available,"10A Thurloe Place South Kensington, London SW7 2RZ England",Ratings Not Available,"['Knightsbridge', 'Gloucester Road', 'Rental Cars']"
361,British Museum of Food: SCOOP A Wonderful Ice Cream World,Suggested Duration:Not Available,"Unit 2 Gasholders Building 1 Lewis Cubitt Square near St Pancras Stn & Granary Square, London N1C 4BY England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Mornington Crescent', 'Rental Cars']"
362,Flat Time House,Suggested Duration:< 1 hour,"Flat Time House 210 Bellenden Road, London SE15 4BW England",Ratings Not Available,"['London Bridge', 'Wapping', 'Rental Cars']"
363,Kinetica Museum,Suggested Duration:Not Available,"274 Richmond Road, London E8 3QW England",Ratings Not Available,"['London Fields', 'Hackney Central', 'Rental Cars']"
364,Menier Gallery,Suggested Duration:2-3 hours,"Menier Chocolate Factory 51 Southwark Street, London SE1 1RU England",4.5,"['London Bridge', 'Southwark', 'Rental Cars']"
365,Magda Danysz Gallery,Suggested Duration:Not Available,"61 Charlotte Street, London W1T 4PF England",Ratings Not Available,"['Goodge St', 'Tottenham Court Road', 'Rental Cars']"
366,Ben Oakley Gallery,Suggested Duration:Not Available,"9 Turnpin Lane Greenwich Market, London SE10 9JA England",Ratings Not Available,"['Turnpike Lane', 'Wood Green', 'Rental Cars']"
367,Shapero Rare Books,Suggested Duration:< 1 hour,"32 St. George Street, London W1S 2EA England",Ratings Not Available,"['Oxford Circus', 'Bond St', 'Rental Cars']"
368,Marvel Avengers Station,Suggested Duration:1-2 hours,"1 Eastern Gateway Royal Victoria Dock, London E16 1FR England",2,"['Pontoon Dock', 'Royal Albert', 'Rental Cars']"
369,Hornsey Town Hall Arts Centre,Suggested Duration:Not Available,"Hornsey Town Hall Arts Centrre The Broadway, Crouch End, London N8 9BQ England",Ratings Not Available,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
370,Lampronti Gallery,Suggested Duration:Not Available,"44 Duke Street St James's, St. James's, London SW1Y",Ratings Not Available,['Green Park']
371,Retroliving,Suggested Duration:Not Available,"7A Church St, Marylebone, London NW8 8EE",Ratings Not Available,['St. John's Wood']
372,David Zwirner,Suggested Duration:Not Available,"24 Grafton Street, London W1S 4EZ England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
373,Imt Gallery,Suggested Duration:< 1 hour,"Cambridge Heath Road Unit 2/210, London E2 9NQ England",Ratings Not Available,"['Cambridge Heath', 'Bethnal Green', 'Rental Cars']"
374,Altazimuth Pavilion,Suggested Duration:Not Available,"Greenwich Park, London SE10 8XJ England",Ratings Not Available,"['North Greenwich', 'Pontoon Dock', 'Rental Cars']"
375,The Stone Space,Suggested Duration:Not Available,"Leytonstone Library 6 Church Lane, London E11 1HG England",Ratings Not Available,"['Leytonstone', 'Leytonstone High Road', 'Rental Cars']"
376,Gallery46,Suggested Duration:< 1 hour,"48 Ashfield Street, London E1 2AJ England",Ratings Not Available,"['Beckton', 'Whitechapel', 'Rental Cars']"
377,CAMA Gallery,Suggested Duration:More than 3 hours,"19 Dacre St, Westminster, London SW1H 0DJ England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
378,Soul Bird Interiors,Suggested Duration:1-2 hours,"12 Heath Street Unit 7/8 Hampstead Antique Emporium, London NW3 6TE England",Ratings Not Available,"['Hampstead', 'South Hampstead', 'Rental Cars']"
379,The Portobello Arts Club,Suggested Duration:< 1 hour,"117 Portobello Road, London W11 2DY England",Ratings Not Available,"['Ladbroke Grove', 'Notting Hill Gate', 'Rental Cars']"
380,ECAD Gallery,Suggested Duration:< 1 hour,"71 Consort Road Unit 6, The White Building, London SE15 3SS England",Ratings Not Available,"['Wapping', 'London Bridge', 'Rental Cars']"
381,International Archive of Dreams,Suggested Duration:1-2 hours,"Stop Lock Apartment 4 Pound Path, London E3 5SE England",Ratings Not Available,"['Cambridge Heath', 'London Fields', 'Rental Cars']"
382,Joseph Fine Art,Suggested Duration:1-2 hours,"49 New Oxford Street, London WC1A 1BL England",Ratings Not Available,"['Tottenham Court Road', 'Holborn', 'Rental Cars']"
383,HOFA Gallery (the house of fine art),Suggested Duration:1-2 hours,"30 Royal Opera Arcade, London SW1Y 4UY England",Ratings Not Available,"['Piccadilly Circus', 'Charing Cross', 'Rental Cars']"
384,Rokeby Gallery,Suggested Duration:Not Available,"16 Rosebery Avenue, London EC1R 4TD England",Ratings Not Available,"['Chancery Lane', 'Farringdon', 'Rental Cars']"
385,Leontia Gallery,Suggested Duration:1-2 hours,"1 Queens Parade, Walm Lane,, London NW2 5HT England",Ratings Not Available,"['Willesden Green', 'Brondesbury Park', 'Rental Cars']"
386,Well Hung,Suggested Duration:Not Available,"239 Hoxton Street, London N1 5LG England",Ratings Not Available,"['Hoxton', 'Haggerston', 'Rental Cars']"
387,Pelham Galleries,Suggested Duration:Not Available,"23 Berkeley Square, London England",Ratings Not Available,"['Green Park', 'Bond St', 'Rental Cars']"
388,Timothy Langston Fine Art & Antiques,Suggested Duration:Not Available,"20A Pimlico Road, London SW1W 8LJ England",Ratings Not Available,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
389,Robert K Burt Gallery,Suggested Duration:Not Available,"57-61 Union Street, London SE1 1SG England",Ratings Not Available,"['London Bridge', 'Southwark', 'Rental Cars']"
390,Drawing Room,Suggested Duration:< 1 hour,"Rich Industrial Estate 46 Willow Walk Unit 8 Rich Estate, London SE1 5SF England",Ratings Not Available,"['London Bridge', 'Gallions Reach', 'Rental Cars']"
391,Adrian Alan Ltd,Suggested Duration:1-2 hours,"66-67 South Audley Street Mayfair, London W1K 2QX England",Ratings Not Available,"['Bond St', 'Hyde Park Corner', 'Rental Cars']"
392,Staffords Gallery,Suggested Duration:Not Available,"Charing Cross Road 24 Cecil Court, London WC2N 4HE England",Ratings Not Available,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
393,AntikBar,Suggested Duration:< 1 hour,"404 Kings Road Chelsea, London SW10 0LJ England",Ratings Not Available,"['Fulham Broadway', 'Gloucester Road', 'Rental Cars']"
394,Palm Tree Gallery,Suggested Duration:< 1 hour,"291 Portobello Road, London W10 5TD England",Ratings Not Available,"['Ladbroke Grove', 'Westbourne Park', 'Rental Cars']"
395,Gerald Moore Gallery,Suggested Duration:Not Available,"Mottingham Lane, London SE9 4RW England",Ratings Not Available,"['Woolwich Arsenal', 'Pontoon Dock', 'Rental Cars']"
396,Marie Wendy Jackson Gallery,Suggested Duration:Not Available,"6 Bristol Gardens, London W9 2JG England",Ratings Not Available,"['Warwick Ave', 'Royal Oak', 'Rental Cars']"
397,Anise Gallery,Suggested Duration:Not Available,"13A Shad Thames, London SE1 2PU England",Ratings Not Available,"['Gallions Reach', 'London Bridge', 'Rental Cars']"
398,SW1 Gallery,Suggested Duration:Not Available,"Roof Garden 12 Cardinal Walk Cardinal Place, London SW1E 5JE England",Ratings Not Available,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
399,Vilma Gold,Suggested Duration:Not Available,"Rivington St., EC2, London E2 9EH England",Ratings Not Available,"['Old St', 'Shoreditch High St', 'Rental Cars']"
400,Hammer Sidi,Suggested Duration:Not Available,"53 Fashion St, E1, London England",Ratings Not Available,"['Aldgate East', 'Aldgate', 'Rental Cars']"
401,Contemporary Art Society,Suggested Duration:Not Available,"59 Central Street Wc1b 3da, London EC1V 3AF England",Ratings Not Available,"['Old St', 'Barbican', 'Rental Cars']"
402,The Blue Gallery,Suggested Duration:Not Available,"15 Great Sutton St., EC1V, London England",Ratings Not Available,"['Barbican', 'Farringdon', 'Rental Cars']"
403,Cinch,Suggested Duration:Not Available,"5 Newburgh Street, London W1F 7RG England",Ratings Not Available,"['Oxford Circus', 'Piccadilly Circus', 'Rental Cars']"
404,Movie Poster Art Gallery,Suggested Duration:Not Available,"16 Newman Street, London W1T 1PA England",Ratings Not Available,"['Tottenham Court Road', 'Goodge St', 'Rental Cars']"
405,Association Gallery,Suggested Duration:Not Available,"81 Leonard Street Shoreditch, London EC2A 4QS England",Ratings Not Available,"['Old St', 'Shoreditch High St', 'Rental Cars']"
406,Soviet Carpet & Art Galleries,Suggested Duration:Not Available,"303-305 Cricklewood Broadway, London NW2 6PG England",Ratings Not Available,"['Willesden Green', 'Dollis Hill', 'Rental Cars']"
407,Museum of Culinary History and Alimentation (MoCHA),Suggested Duration:Not Available,"61 Malmesbury Terrace, London E16 2EB England",Ratings Not Available,"['Canning Town', 'Star Lane', 'Rental Cars']"
408,Dazzle,Suggested Duration:Not Available,"South Bank, London SE1 9PX England",Ratings Not Available,"['Temple', 'Waterloo', 'Rental Cars']"
409,Bravura Creative Art Studio,Suggested Duration:Not Available,"612 Fulham Road, London SW6 5RP England",Ratings Not Available,"['Parsons Green', 'Fulham Broadway', 'Rental Cars']"
410,Julian Simon Fine Art,Suggested Duration:Not Available,"70 Pimlico Road 10 Bury Street, St. James's, London SW1W 8LS England",Ratings Not Available,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
411,Judith Clark Costume Gallery,Suggested Duration:Not Available,"112 Talbot Road Notting Hill, London W11 1JR England",Ratings Not Available,"['Westbourne Park', 'Ladbroke Grove', 'Rental Cars']"
412,Institute of International Visual Arts,Suggested Duration:Not Available,"6-8 Standard Place Rivington Street, London EC2A 3BE England",Ratings Not Available,"['Shoreditch High St', 'Old St', 'Rental Cars']"
413,Fashion Gallery,Suggested Duration:Not Available,"8 Clarendon Terrace Maida Vale, London W9 1BZ England",Ratings Not Available,"['Warwick Ave', 'Maida Vale', 'Rental Cars']"
414,Picasso's Place,Suggested Duration:Not Available,"106 Heath Street, London NW3 1DR England",Ratings Not Available,"['Hampstead', 'South Hampstead', 'Rental Cars']"
415,Patricia Kleinman,Suggested Duration:Not Available,"Antique Arcade 3 The Mall Camden Passage, London N14 6LR England",Ratings Not Available,"['Southgate', 'Arnos Grove', 'Rental Cars']"
416,Cabaret Mechanical Theatre,Suggested Duration:Not Available,"33-34 The Market, London England",Ratings Not Available,"['East Finchley', 'Golders Green', 'Rental Cars']"
417,Andrew Mummery Gallery,Suggested Duration:Not Available,"63 Compton Street, London EC1V 0BN England",Ratings Not Available,"['Farringdon', 'Barbican', 'Rental Cars']"
418,Maureen Paley,Suggested Duration:Not Available,"21 Herald Street, London E2 6JT England",Ratings Not Available,"['Bethnal Green', 'Bethnal Green', 'Rental Cars']"
419,Lux Centre,Suggested Duration:Not Available,"2 Hoxton Square, London England",Ratings Not Available,"['Old St', 'Hoxton', 'Rental Cars']"
420,Caelt Gallery,Suggested Duration:Not Available,"182 Westbourne Grove, London W11 2RH England",Ratings Not Available,"['Notting Hill Gate', 'Westbourne Park', 'Rental Cars']"
